mid,season,comp,date,hid,aid,hname,aname,home_elo,away_elo,home_club_elo_name,away_club_elo_name,source
3714070,2122,ChampionsLeague,2021-09-14,8302,10013,Sevilla,Salzburg,,,Sevilla,rbsalzburg,none/none
3714058,2122,ChampionsLeague,2021-09-14,10192,10260,Young Boys,Manchester United,,,YoungBoys,ManUnited,none/none
3714046,2122,ChampionsLeague,2021-09-14,8634,9823,Barcelona,Bayern München,,,Barcelona,Bayern,none/none
3714082,2122,ChampionsLeague,2021-09-14,8455,8698,Chelsea,Zenit St. Petersburg,,,Chelsea,Zenit,none/none
3714047,2122,ChampionsLeague,2021-09-14,8688,9772,Dynamo Kyiv,Benfica,,,DynamoKyiv,benfica,none/none
3714071,2122,ChampionsLeague,2021-09-14,8639,8721,Lille,Wolfsburg,,,Lille,Wolfsburg,none/none
3714083,2122,ChampionsLeague,2021-09-14,10237,9885,Malmö FF,Juventus,,,Malmoe,Juventus,none/none
3714059,2122,ChampionsLeague,2021-09-14,10205,8524,Villarreal,Atalanta,,,Villarreal,atalanta,none/none
3714022,2122,ChampionsLeague,2021-09-15,10188,9789,Beşiktaş,Borussia Dortmund,,,Besiktas,Dortmund,none/none
3714034,2122,ChampionsLeague,2021-09-15,9729,9728,FC Sheriff,Shakhtar Donetsk,,,,Shakhtar,none/none
3714010,2122,ChampionsLeague,2021-09-15,9906,9773,Atlético Madrid,FC Porto,,,atletico,porto,none/none
3713999,2122,ChampionsLeague,2021-09-15,8342,9847,Club Brugge,Paris Saint-Germain,,,Brugge,ParisSG,none/none
3714035,2122,ChampionsLeague,2021-09-15,8636,8633,Inter,Real Madrid,,,Inter,realmadrid,none/none
3714011,2122,ChampionsLeague,2021-09-15,8650,8564,Liverpool,Milan,,,Liverpool,Milan,none/none
3713998,2122,ChampionsLeague,2021-09-15,8456,178475,Manchester City,RB Leipzig,,,ManCity,RBLeipzig,none/none
3714023,2122,ChampionsLeague,2021-09-15,9768,8593,Sporting CP,Ajax,,,Sporting,Ajax,none/none
3714024,2122,ChampionsLeague,2021-09-28,8593,10188,Ajax,Beşiktaş,,,Ajax,Besiktas,none/none
3714036,2122,ChampionsLeague,2021-09-28,9728,8636,Shakhtar Donetsk,Inter,,,Shakhtar,Inter,none/none
3714012,2122,ChampionsLeague,2021-09-28,8564,9906,Milan,Atlético Madrid,,,Milan,atletico,none/none
3714025,2122,ChampionsLeague,2021-09-28,9789,9768,Borussia Dortmund,Sporting CP,,,Dortmund,Sporting,none/none
3714013,2122,ChampionsLeague,2021-09-28,9773,8650,FC Porto,Liverpool,,,porto,Liverpool,none/none
3714000,2122,ChampionsLeague,2021-09-28,9847,8456,Paris Saint-Germain,Manchester City,,,ParisSG,ManCity,none/none
3714001,2122,ChampionsLeague,2021-09-28,178475,8342,RB Leipzig,Club Brugge,,,RBLeipzig,Brugge,none/none
3714037,2122,ChampionsLeague,2021-09-28,8633,9729,Real Madrid,FC Sheriff,,,realmadrid,,none/none
3714060,2122,ChampionsLeague,2021-09-29,8524,10192,Atalanta,Young Boys,,,atalanta,YoungBoys,none/none
3714084,2122,ChampionsLeague,2021-09-29,8698,10237,Zenit St. Petersburg,Malmö FF,,,Zenit,Malmoe,none/none
3714048,2122,ChampionsLeague,2021-09-29,9823,8688,Bayern München,Dynamo Kyiv,,,Bayern,DynamoKyiv,none/none
3714049,2122,ChampionsLeague,2021-09-29,9772,8634,Benfica,Barcelona,,,benfica,Barcelona,none/none
3714085,2122,ChampionsLeague,2021-09-29,9885,8455,Juventus,Chelsea,,,Juventus,Chelsea,none/none
3714061,2122,ChampionsLeague,2021-09-29,10260,10205,Manchester United,Villarreal,,,ManUnited,Villarreal,none/none
3714072,2122,ChampionsLeague,2021-09-29,10013,8639,Salzburg,Lille,,,rbsalzburg,Lille,none/none
3714073,2122,ChampionsLeague,2021-09-29,8721,8302,Wolfsburg,Sevilla,,,Wolfsburg,Sevilla,none/none
3714026,2122,ChampionsLeague,2021-10-19,10188,9768,Beşiktaş,Sporting CP,,,Besiktas,Sporting,none/none
3714002,2122,ChampionsLeague,2021-10-19,8342,8456,Club Brugge,Manchester City,,,Brugge,ManCity,none/none
3714027,2122,ChampionsLeague,2021-10-19,8593,9789,Ajax,Borussia Dortmund,,,Ajax,Dortmund,none/none
3714014,2122,ChampionsLeague,2021-10-19,9906,8650,Atlético Madrid,Liverpool,,,atletico,Liverpool,none/none
3714015,2122,ChampionsLeague,2021-10-19,9773,8564,FC Porto,Milan,,,porto,Milan,none/none
3714039,2122,ChampionsLeague,2021-10-19,8636,9729,Inter,FC Sheriff,,,Inter,,none/none
3714003,2122,ChampionsLeague,2021-10-19,9847,178475,Paris Saint-Germain,RB Leipzig,,,ParisSG,RBLeipzig,none/none
3714038,2122,ChampionsLeague,2021-10-19,9728,8633,Shakhtar Donetsk,Real Madrid,,,Shakhtar,realmadrid,none/none
3714050,2122,ChampionsLeague,2021-10-20,8634,8688,Barcelona,Dynamo Kyiv,,,Barcelona,DynamoKyiv,none/none
3714074,2122,ChampionsLeague,2021-10-20,10013,8721,Salzburg,Wolfsburg,,,rbsalzburg,Wolfsburg,none/none
3714051,2122,ChampionsLeague,2021-10-20,9772,9823,Benfica,Bayern München,,,benfica,Bayern,none/none
3714086,2122,ChampionsLeague,2021-10-20,8455,10237,Chelsea,Malmö FF,,,Chelsea,Malmoe,none/none
3714075,2122,ChampionsLeague,2021-10-20,8639,8302,Lille,Sevilla,,,Lille,Sevilla,none/none
3714063,2122,ChampionsLeague,2021-10-20,10260,8524,Manchester United,Atalanta,,,ManUnited,atalanta,none/none
3714062,2122,ChampionsLeague,2021-10-20,10192,10205,Young Boys,Villarreal,,,YoungBoys,Villarreal,none/none
3714087,2122,ChampionsLeague,2021-10-20,8698,9885,Zenit St. Petersburg,Juventus,,,Zenit,Juventus,none/none
3714088,2122,ChampionsLeague,2021-11-02,10237,8455,Malmö FF,Chelsea,,,Malmoe,Chelsea,none/none
3714076,2122,ChampionsLeague,2021-11-02,8721,10013,Wolfsburg,Salzburg,,,Wolfsburg,rbsalzburg,none/none
3714065,2122,ChampionsLeague,2021-11-02,8524,10260,Atalanta,Manchester United,,,atalanta,ManUnited,none/none
3714053,2122,ChampionsLeague,2021-11-02,9823,9772,Bayern München,Benfica,,,Bayern,benfica,none/none
3714052,2122,ChampionsLeague,2021-11-02,8688,8634,Dynamo Kyiv,Barcelona,,,DynamoKyiv,Barcelona,none/none
3714089,2122,ChampionsLeague,2021-11-02,9885,8698,Juventus,Zenit St. Petersburg,,,Juventus,Zenit,none/none
3714077,2122,ChampionsLeague,2021-11-02,8302,8639,Sevilla,Lille,,,Sevilla,Lille,none/none
3714064,2122,ChampionsLeague,2021-11-02,10205,10192,Villarreal,Young Boys,,,Villarreal,YoungBoys,none/none
3714016,2122,ChampionsLeague,2021-11-03,8564,9773,Milan,FC Porto,,,Milan,porto,none/none
3714040,2122,ChampionsLeague,2021-11-03,8633,9728,Real Madrid,Shakhtar Donetsk,,,realmadrid,Shakhtar,none/none
3714029,2122,ChampionsLeague,2021-11-03,9789,8593,Borussia Dortmund,Ajax,,,Dortmund,Ajax,none/none
3714041,2122,ChampionsLeague,2021-11-03,9729,8636,FC Sheriff,Inter,,,,Inter,none/none
3714017,2122,ChampionsLeague,2021-11-03,8650,9906,Liverpool,Atlético Madrid,,,Liverpool,atletico,none/none
