el_pid,season,team,el_min,name,how,bbref_pid,bbref_name,league,bteam,g,mp,n_leagues,cat
P014316,2025,OLY,249.07000000000002,"JOSEPH, CORY",ονομα,/players/j/josepco01.html,Cory Joseph,NBA,ORL,50.0,612.0,1.0,βρεθηκε: NBA
P014212,2025,OLY,92.33000000000001,"MORRIS, MONTE",ονομα,/players/m/morrimo01.html,Monte Morris,NBA,PHO,45.0,571.0,1.0,βρεθηκε: NBA
P014122,2025,OLY,14.530000000000001,"NETZIPOGLOU, OMIROS",ονομα,/international/players/omiros-netzipoglou-1.html,Omiros Netzipoglou,greek-basket-league,AEK Athens,22.0,358.0,1.0,βρεθηκε: greek-basket-league
P011221,2025,OLY,22.689999999999998,"ANTETOKOUNMPO, KOSTAS",ονομα,/international/players/kostas-antetokounmpo-1.html,Kostas Antetokounmpo,spain-liga-acb,UCAM Murcia,14.0,172.0,2.0,βρεθηκε: spain-liga-acb
P011218,2025,OLY,2.02,"EVANS, KEENAN",—,,,,,,,,EL/EC παλαιοτερα (τραυμα/αλλου)
P014117,2025,MAD,889.9999999999999,"LYLES, TREY",ονομα,/players/l/lylestr01.html,Trey Lyles,NBA,SAC,69.0,1349.0,1.0,βρεθηκε: NBA
P014006,2025,MAD,769.96,"OKEKE, CHUMA",ονομα,/gleague/players/o/okekech01d.html,Chuma Okeke,gleague,WES,28.0,1020.0,2.0,βρεθηκε: gleague
P010105,2025,MAD,9.64,"ALMANSA, IZAN",ονομα,/international/players/izan-almansa-1.html,Izan Almansa,nbl-australia,Perth Wildcats,29.0,499.0,1.0,βρεθηκε: nbl-australia
P014169,2025,MAD,210.83,"LEN, ALEX",ονομα,/players/l/lenal01.html,Alex Len,NBA,2TM,46.0,380.0,1.0,βρεθηκε: NBA
P006482,2025,MAD,158.71999999999997,"KRAEMER, DAVID",—,,,,,,,,αγνωστο (LKL/BBL/VTB/αλλο)
P013555,2025,MAD,0.8,"GRINVALDS, GUNARS",—,,,,,,,,νεαρος (≤21)
P011217,2025,PAM,962.1199999999999,"TAYLOR, KAMERON",ονομα,/international/players/kameron-taylor-1.html,Kameron Taylor,spain-liga-acb,Unicaja,32.0,663.0,1.0,βρεθηκε: spain-liga-acb
P014168,2025,PAM,578.77,"KEY, BRAXTON",ονομα,/gleague/players/k/keybr01d.html,Braxton Key,gleague,TOT,33.0,1081.0,2.0,βρεθηκε: gleague
P014115,2025,PAM,741.8199999999999,"MOORE, OMARI",ονομα,/international/players/omari-moore-1.html,Omari Moore,turkey-super-league,Darüşşafaka Lassa,29.0,978.0,1.0,βρεθηκε: turkey-super-league
P010162,2025,PAM,42.3,"NOGUES, ISAAC",ονομα,/gleague/players/n/nogueis01d.html,Isaac Nogues,gleague,RIP,25.0,593.0,1.0,βρεθηκε: gleague
P005596,2025,PAM,49.45,"SIMA, YANKUBA",ονομα,/international/players/yankuba-sima-1.html,Yankuba Sima,spain-liga-acb,Unicaja,28.0,436.0,1.0,βρεθηκε: spain-liga-acb
P014133,2025,PAM,24.68,"IROEGBU, IKE",ονομα,/international/players/ike-iroegbu-1.html,Ike Iroegbu,spain-liga-acb,Bàsquet Girona,33.0,823.0,1.0,βρεθηκε: spain-liga-acb
P014124,2025,ULK,977.2900000000001,"HORTON TUCKER, TALEN",ονομα,/players/h/hortota01.html,Talen Horton-Tucker,NBA,CHI,58.0,724.0,1.0,βρεθηκε: NBA
P014220,2025,ULK,139.23,"SILVA, CHRIS",—,,,,,,,,αγνωστο (LKL/BBL/VTB/αλλο)
P014016,2025,ULK,331.25000000000006,"BOSTON JR., BRANDON",ονομα,/players/b/bostobr01.html,Brandon Boston Jr.,NBA,NOP,42.0,993.0,1.0,βρεθηκε: NBA
P014015,2025,ULK,263.02000000000004,"BACOT JR., ARMANDO",ονομα,/gleague/players/b/bacotar01d.html,Armando Bacot,gleague,MHU,34.0,1053.0,1.0,βρεθηκε: gleague
P011284,2025,PAN,460.05999999999995,"FARIED, KENNETH",ονομα,/international/players/kenneth-faried-1.html,Kenneth Faried,italy-basket-serie-a,UNAHOTELS Reggio Emilia,19.0,364.0,1.0,βρεθηκε: italy-basket-serie-a
P014011,2025,PAN,356.16999999999996,"HOLMES, RICHAUN",ονομα,/players/h/holmeri01.html,Richaun Holmes,NBA,WAS,31.0,534.0,1.0,βρεθηκε: NBA
P004451,2025,PAN,16.92,"KOUZELOGLOU, IOANNIS",—,,,,,,,,αγνωστο (LKL/BBL/VTB/αλλο)
P008192,2025,ZAL,953.1299999999998,"TUBELIS, AZUOLAS",—,,,,,,,,αγνωστο (LKL/BBL/VTB/αλλο)
P012977,2025,ZAL,18.15,"MIKALAUSKAS, KAJUS",—,,,,,,,,νεαρος (≤21)
P013283,2025,HTA,21.67,"PALATIN, GUY",ονομα,/international/players/guy-palatin-1.html,Guy Palatin,israel-super-league,Hapoel Tel Aviv,24.0,373.0,2.0,βρεθηκε: israel-super-league
P014416,2025,HTA,170.60000000000005,"EDWARDS, KESSLER",ονομα,/players/e/edwarke02.html,Kessler Edwards,NBA,DAL,40.0,608.0,2.0,βρεθηκε: NBA
P002580,2025,HTA,963.8100000000002,"MICIC, VASILIJE",ονομα,/players/m/micicva01.html,Vasilije Micić,NBA,2TM,41.0,785.0,1.0,βρεθηκε: NBA
P004161,2025,HTA,2.98,"SEGEV, ITAY",ονομα,/international/players/itay-segev-1.html,Itay Segev,israel-super-league,Ironi Ness Ziona,24.0,607.0,1.0,βρεθηκε: israel-super-league
P003836,2025,MCO,8.92,"MICHINEAU, DAVID",ονομα,/international/players/david-michineau-1.html,David Michineau,turkey-super-league,Bursaspor Yörsan,30.0,859.0,1.0,βρεθηκε: turkey-super-league
P009948,2025,BAR,266.34999999999997,"MARCOS, JUANI",ονομα,/international/players/juani-marcos-1.html,Juani Marcos,spain-liga-acb,Bàsquet Girona,28.0,589.0,1.0,βρεθηκε: spain-liga-acb
P014134,2025,BAR,445.76,"NORRIS, MILES",ονομα,/gleague/players/n/norrimi01d.html,Miles Norris,gleague,TOT,30.0,913.0,2.0,βρεθηκε: gleague
P012885,2025,BAR,51.559999999999995,"KEITA, SAYON",ονομα,/international/players/sayon-keita-1.html,Sayon Keita,spain-liga-acb,Barça,5.0,14.0,1.0,βρεθηκε: spain-liga-acb
P014128,2025,BAR,1.13,"KUSTURICA, NIKOLA",—,,,,,,,,νεαρος (≤21)
P014163,2025,RED,640.16,"BUTLER, JARED",ονομα,/players/b/butleja02.html,Jared Butler,NBA,2TM,60.0,1044.0,2.0,βρεθηκε: NBA
