pid,season,name,min,value,box,pm,pir40
P000046,E2017,"STRELNIEKS, JANIS",675.26,-1.383586279731988,-2.8533188066397326,1.4697325269077446,14.664601122408099
P000129,E2017,"BROWN, BOBBY",87.98,-9.244248554000018,-8.820687873582171,-0.42356068041784745,8.558775753580717
P000229,E2017,"JACKSON, EDWIN",131.01,-1.3531333974438167,-0.9830186988384358,-0.37011469860538093,15.795327761387403
P000399,E2017,"KAVALIAUSKAS, ANTANAS",451.57,3.351736786083616,3.5525102008157026,-0.20077341473208654,15.752993574991578
P000436,E2017,"BERTANS, DAIRIS",515.9,-5.327705957878667,-3.0025351091039734,-2.325170848774694,12.419026897480279
P000464,E2017,"PAPPAS, NIKOS",562.1,-5.827668352618289,-6.748422850872885,0.9207544982545953,13.787764183896849
P000494,E2017,"GULER, SINAN",68.45,-3.1382177381191125,-2.3013468172328526,-0.8368709208862598,13.3504224764506
P000518,E2017,"SAN EMETERIO, FERNANDO",440.19,-4.9932219804331766,-2.786909235165157,-2.2063127452680193,16.307000622296048
P000529,E2017,"MICOV, VLADIMIR",799.12,-3.307155699032311,-2.738106735015424,-0.5690489640168872,16.425926090130464
P000556,E2017,"CLAVER, VICTOR",383.96,3.585294142194263,2.756579932809627,0.8287142093846357,14.317048239850616
P000577,E2017,"KESELJ, MARKO",36.06,-5.38474660952839,-4.81844493905592,-0.5663016704724709,12.11876132704765
P000848,E2017,"NEDOVIC, NEMANJA",601.95,-2.0903460931909197,-4.193652773306033,2.103306680115113,25.256611818730825
P000925,E2017,"VESELY, JAN",904.84,3.2316225935575704,3.7431171342225404,-0.5114945406649701,23.45535474917211
P001133,E2017,"SHENGELIA, TORNIKE",842.23,4.16778626643727,6.613127660057864,-2.445341393620594,27.348819997408384
P001255,E2017,"PAPANIKOLAOU, KOSTAS",674.58,4.118563304299268,2.2680650589978333,1.850498245301435,18.498900909083765
P001324,E2017,"MUHAMMED, ALI",236.84,1.4057260061402892,2.4752291664069226,-1.0695031602666334,20.57023710413877
P001351,E2017,"MARTINEZ, RAFA",446.87,0.2278789410815657,-0.29320292898432243,0.5210818700658881,17.936399265196673
P001386,E2017,"SHERMADINI, GIORGI",333.47,0.31424722939798644,-0.14940260065537855,0.463649830053365,21.0600010754103
P001392,E2017,"CAUSEUR, FABIEN",652.71,-0.7162512741405529,-1.457589488027919,0.7413382138873661,16.113614361650704
P001438,E2017,"AUGUSTINE, JAMES",672.01,10.890644434195323,8.563320859064659,2.327323575130664,23.845388875996555
P001612,E2017,"TODOROVIC, MARKO",282.06,2.1486271426057675,0.7706369278713343,1.3779902147344334,12.272623844836161
P001792,E2017,"ZAYTSEV, VYACHESLAV",90.51,-3.9430244861858617,-3.6581164872738112,-0.2849079989120506,10.124815842517997
P001832,E2017,"DOELLMAN, JUSTIN",40.55,-1.6555450560257388,-1.1462759484239051,-0.5092691076018337,14.292982327699061
P001833,E2017,"MOERMAN, ADRIEN",666.76,3.513865131720814,2.8172880069306045,0.6965771247902094,15.244507624495414
P001844,E2017,"HACKETT, DANIEL",623.46,0.17425974172156466,0.49079491284918064,-0.316535171127616,19.308432623998705
P001926,E2017,"SLOUKAS, KOSTAS",868.82,-0.5658089996541975,-2.491622124244009,1.9258131245898114,20.15738596040348
P001932,E2017,"CALATHES, NICK",897.55,3.7432147112134375,3.7550810604444913,-0.011866349231053841,24.749514977853842
P001933,E2017,"BOGRIS, GEORGIOS",118.14,0.5757480378789077,0.7798725811324853,-0.20412454325357754,9.75923107251354
P001948,E2017,"SERAPHIN, KEVIN",304.15999999999997,1.6711063877375307,1.9157944853780873,-0.24468809764055655,22.785230270581216
P001960,E2017,"CARROLL, JAYCEE",573.64,-2.1182929627255875,-1.848087172480602,-0.2702057902449855,17.64871246683407
P001988,E2017,"TAYLOR, BRYCE",239.06,-0.9232274506539838,-0.5284949489503474,-0.3947325017036364,10.997695588267868
P002008,E2017,"KUZMINSKAS, MINDAUGAS",307.21,-2.422927480579306,-1.9965863376419417,-0.42634114293736436,17.40841007381475
P002091,E2017,"ROBERTS, BRIAN",591.21,-2.776102519340584,-2.9635667115385442,0.18746419219796004,13.20709866199578
P002100,E2017,"DE COLO, NANDO",825.11,2.3117848928284657,1.5470812677691557,0.76470362505931,28.07112523500784
P002276,E2017,"KULAGIN, MIKHAIL",46.129999999999995,3.3147655948247214,2.5492809478225054,0.7654846470022161,20.31669517661058
P002329,E2017,"ULANOVAS, EDGARAS",923.01,-1.1808187558082528,-0.2568571736116553,-0.9239615821965976,16.157103709795702
P002361,E2017,"VIVES, GUILLEM",295.32,-1.0841984388644506,-0.8648107079220008,-0.2193877309424498,12.771624674082018
P002429,E2017,"RIVERS, KC",725.1899999999999,-3.2258800276240454,-2.240420037500453,-0.9854599901235925,11.838338644625
P002506,E2017,"STAIGER, LUCCA",290.36,-2.5298802511579748,-2.560676826380646,0.030796575222671374,11.396861015877917
P002507,E2017,"TOMIC, ANTE",519.41,8.311572917246426,7.458125920707719,0.8534469965387066,25.974521990536324
P002543,E2017,"WESTERMANN, LEO",228.94,-3.658497421479165,-3.701416122050362,0.04291870057119683,13.524894102748537
P002553,E2017,"MITROVIC, LUKA",219.49,-1.002786595749189,-0.03622988920866557,-0.9665567065405234,14.550936386610234
P002561,E2017,"RADICEVIC, NIKOLA",110.09,-5.3556712434194615,-4.675552259892077,-0.6801189835273838,11.465936818306933
P002580,E2017,"MICIC, VASILIJE",792.59,-3.5914275173846866,-3.4461874606770353,-0.14524005670765117,15.739453350539556
P002582,E2017,"TOUPANE, AXEL",496.99,0.11058707383970418,-0.26588478491546913,0.3764718587551733,15.626524173199055
P002742,E2017,"DUBLJEVIC, BOJAN",485.27,4.550956880453218,3.473579278550456,1.0773776019027623,24.824232689456323
P002744,E2017,"TILLIE, KIM",161.46,-1.2247513648549055,-1.0785493362604943,-0.14620202859441123,11.355001400436409
P002763,E2017,"DOORNEKAMP, AARON",667.54,0.18737777997236904,0.4869296695494435,-0.29955188957707446,14.23883923464328
P002812,E2017,"HINES, KYLE",674.35,6.6479519849969755,5.915695281284774,0.7322567037122021,21.603769182098667
P002820,E2017,"SALIN, SASU",446.2,-8.43972763036163,-7.466411049931354,-0.9733165804302761,11.88004149790938
P002822,E2017,"MILOSAVLJEVIC, DRAGAN",500.04,-5.062546938790767,-4.255251528354547,-0.8072954104362202,13.013930181584733
P002849,E2017,"MELLI, NICOLO",953.63,4.468315782793776,3.3100263806138384,1.158289402179938,18.041322538422502
P002936,E2017,"SASTRE, JOAN",379.36,-4.533610072675304,-3.1789384124051963,-1.354671660270108,13.035878392352519
P002969,E2017,"MAHMUTOGLU, MELIH",141.95,-5.297966222414098,-5.785917971865232,0.487951749451134,9.294807465005594
P002972,E2017,"ROCHESTIE, TAYLOR",781.3100000000001,-1.3458951435903346,-0.5731766780874183,-0.7727184655029162,21.523503269176683
P002980,E2017,"GIST, JAMES",862.93,1.9166969597396422,0.6899421559730141,1.226754803766628,16.583633977711884
P003024,E2017,"GRANGER, JAYSON",672.17,-2.9624291561042337,-2.8963672827519944,-0.06606187335223934,20.36970960560253
P003034,E2017,"PARAKHOUSKI, ARTSIOM",486.48,3.974914824891274,4.438330536868547,-0.46341571197727277,21.567451006271487
