league,season,date,home,away,hg,ag,xg_h,xg_a,npxg_h,npxg_a,shots_h,shots_a,xt_h,xt_a
CzechFirstLeague,2425,2025-05-25,Dukla Praha,České Budějovice,2,1,1.93,1.26,1.93,1.26,15.0,13.0,0.81,0.54
CzechFirstLeague,2425,2025-05-25,Teplice,Pardubice,3,0,3.34,2.57,3.34,2.57,20.0,12.0,0.92,0.84
CzechFirstLeague,2425,2025-05-25,Mladá Boleslav,Slovácko,2,2,1.91,1.21,1.91,1.21,12.0,8.0,0.61,0.74
CzechFirstLeague,2425,2025-05-25,Hradec Králové,Bohemians 1905,2,0,2.0,2.09,2.0,2.09,14.0,16.0,0.52,1.16
CzechFirstLeague,2425,2025-05-24,Sparta Praha,Sigma Olomouc,1,1,1.44,1.76,1.44,1.76,13.0,13.0,0.65,0.44
CzechFirstLeague,2425,2025-05-24,Viktoria Plzeň,Jablonec,4,1,2.29,2.28,2.29,1.52,14.0,14.0,0.69,1.4
CzechFirstLeague,2425,2025-05-24,Slavia Praha,Baník Ostrava,3,0,2.86,0.27,2.86,0.27,21.0,8.0,1.43,0.63
CzechFirstLeague,2425,2025-05-18,Baník Ostrava,Sparta Praha,3,2,0.76,2.16,0.76,2.16,6.0,15.0,0.45,1.91
CzechFirstLeague,2425,2025-05-18,Sigma Olomouc,Viktoria Plzeň,1,2,0.62,3.89,0.62,3.89,5.0,21.0,0.31,1.61
CzechFirstLeague,2425,2025-05-18,Jablonec,Slavia Praha,3,2,4.19,2.42,4.19,2.42,27.0,17.0,1.48,0.55
CzechFirstLeague,2425,2025-05-18,Bohemians 1905,Hradec Králové,1,0,2.35,3.07,2.35,3.07,16.0,24.0,1.11,1.22
CzechFirstLeague,2425,2025-05-17,Slovácko,Dukla Praha,3,2,3.5,1.65,3.5,1.65,14.0,15.0,0.66,0.86
CzechFirstLeague,2425,2025-05-17,České Budějovice,Teplice,0,3,1.16,1.94,1.16,1.94,13.0,13.0,0.49,1.04
