comp,utc,ματς,diff,λ,p1X2,diff_A,λ_A,p1X2_A,diff_AV,λ_AV,p1X2_AV,αρχικη_AH,Crown,Crown_edgeA_H,Crown_edgeA_A,Crown_edgeAV_H,Crown_edgeAV_A,Crown_fair_H,Crown_edge_H,Crown_fair_A,Crown_edge_A,Crown_1X2,SBOBET,SBOBET_edgeA_H,SBOBET_edgeA_A,SBOBET_edgeAV_H,SBOBET_edgeAV_A,SBOBET_fair_H,SBOBET_edge_H,SBOBET_fair_A,SBOBET_edge_A,νεκρη,PICK_χαρτι,PICK_αγκυρα,PICK_αγκυρα_αξια,απουσιες_κλησης
NL C,2026-09-26T16:00,Bulgaria - Luxembourg,82,1.43-1.04,42/33/25,39,1.24-1.05,37/34/30,47,1.27-1.04,38/34/29,-0.50,-0.25 1.94/1.88,-10%,+13%,-8%,+11%,1.92,-0%,1.8,+3%,2.20/3.15/3.05,-0.25 1.98/1.84,-8%,+10%,-6%,+9%,1.92,+1%,1.8,+1%,,,,,
NL C,2026-09-26T16:00,Faroe Islands - Kazakhstan,4,1.08-1.06,33/34/33,78,1.37-0.99,41/33/26,32,1.18-1.03,36/34/30,-0.00,-0.25 1.93/1.89,-1%,+4%,-12%,+16%,2.44,-18%,1.52,+22%,2.20/3.00/3.20,-0.25 1.94/1.88,-1%,+4%,-12%,+15%,2.44,-18%,1.52,+22%,,,,,"Faroe Islands: Andrias Edmundsson(1.6M) | Kazakhstan: Dastan Satpaev(2.7M), Baktiyor Zaynutdinov(1.6M)"
NL C,2026-09-26T16:00,Iceland - Estonia,399,2.51-0.56,80/15/6,355,2.30-0.58,75/18/7,464,2.75-0.50,84/11/4,-1.25,-1.50 1.85/1.97,-6%,-6%,+16%,-29%,1.76,+4%,2.32,-16%,1.26/5.20/8.70,-1.50 1.87/1.95,-5%,-7%,+17%,-30%,1.76,+5%,2.32,-17%,,1Χ2 φαβ γηπ ≥75% @1.26,,"FAV 1 -1.50 @1.85 (Crown, +16%) · 1Χ2 φαβ γηπ ≥75% @1.26",Iceland: Albert Guðmundsson(11.1M) | Estonia: Marten-Chris Paalberg(0.9M)
NL C,2026-09-26T16:00,San Marino - Finland,-759,0.15-3.85,1/3/97,-562,0.29-3.01,2/7/91,-706,0.17-3.60,1/3/95,+2.25,—,,,,,,,,,,+2.50 1.87/1.95,-10%,+3%,-37%,+9%,3.4,-46%,1.61,+19%,,"FAV 2 -2.50 @1.95 (SBOBET, +19%)",,,"Finland: Oliver Antman(2.6M), Naatan Skyttä(2.6M)"
NL A,2026-09-26T18:45,Czechia - Croatia,-99,1.17-1.65,22/32/46,-85,1.19-1.60,23/32/45,-135,1.15-1.80,19/30/51,+0.25,—,,,,,,,,,,+0.25 2.02/1.88,+9%,-2%,-3%,+7%,1.89,+5%,1.84,+1%,,,,,"Czechia: Patrik Schick(14.8M), Tomás Souček(9.7M)"
NL A,2026-09-26T18:45,England - Spain,-95,1.07-1.54,22/32/45,-57,1.38-1.66,26/33/41,-59,1.38-1.67,26/33/41,-0.00,+0.25 1.76/2.06,-1%,-0%,-1%,+0%,1.87,-7%,1.85,+8%,2.71/3.35/2.32,+0.25 1.80/2.11,+2%,+2%,+1%,+2%,1.87,-5%,1.85,+11%,,,,,"England: Declan Rice(93.0M), Cole Palmer(91.9M)"
NL B,2026-09-26T18:45,North Macedonia - Switzerland,-388,0.67-2.56,6/15/80,-300,0.74-2.19,9/20/71,-420,0.64-2.68,5/13/82,+1.00,+1.25 1.99/1.83,+7%,-6%,-19%,+16%,2.25,-13%,1.61,+11%,8.50/4.30/1.38,+1.25 2.00/1.90,+8%,-3%,-19%,+20%,2.25,-12%,1.61,+15%,,"FAV 2 -1.25 @1.83 (Crown, +11%) · 1Χ2 φαβ εκτος ≥75% @1.38",,"FAV 2 -1.25 @1.83 (Crown, +16%) · 1Χ2 φαβ εκτος ≥75% @1.38","Switzerland: Denis Zakaria(19.2M), Noah Okafor(17.2M)"
NL C,2026-09-26T18:45,Albania - Belarus,218,2.04-0.97,60/26/14,257,1.91-0.66,64/24/12,350,2.29-0.59,75/18/8,-1.00,—,,,,,,,,,,-1.00 1.86/1.96,-1%,-8%,+17%,-27%,2.06,-8%,1.94,-0%,,,,"FAV 1 -1.00 @1.86 (SBOBET, +17%)","Albania: Armando Broja(9.4M) | Belarus: Dmitriy Prishchepa(0.8M), Ruslan Myalkovskiy(0.8M)"
NL C,2026-09-26T18:45,Slovakia - Moldova,516,2.97-0.45,88/9/3,445,2.67-0.51,83/12/5,548,3.09-0.43,89/8/3,-1.50,—,,,,,,,,,,-1.75 1.88/1.94,+4%,-15%,+23%,-34%,1.54,+18%,2.85,-29%,,"FAV 1 -1.75 @1.88 (SBOBET, +18%)",,"FAV 1 -1.75 @1.88 (SBOBET, +23%)","Slovakia: Dávid Hancko(29.2M), Stanislav Lobotka(9.0M) | Moldova: Oleg Reabciuk(1.2M), Ion Nicolăescu(0.9M)"
NL D,2026-09-27T13:00,Lithuania - Azerbaijan,60,1.30-1.00,40/34/27,25,1.14-1.02,35/34/31,58,1.27-0.99,39/34/28,—,-0.25 2.07/1.75,-9%,+9%,-0%,+1%,2.02,+1%,1.72,+0%,2.36/3.15/3.20,—,,,,,,,,,,,,,"Azerbaijan: Nəriman Akhundzada(2.1M), Elvin Cəfərquliyev(1.2M)"
