comp,utc,home,away,hid,aid,νεκρη,R_home,R_away,val_adj,xg_h_D,xg_a_D,xg_h_A_D,xg_a_A_D,xg_h_AV_D,xg_a_AV_D,val_src,V_h,V_a,Vh_raw,Va_raw,diff,xg_h,xg_a,P1,PX,P2,fair_1,fair_X,fair_2,fair_line,fair_m05,fair_p05,diff_A,xg_h_A,xg_a_A,P1_A,PX_A,P2_A,R_home_A,R_away_A,diff_AV,xg_h_AV,xg_a_AV,P1_AV,PX_AV,P2_AV
NL A,2026-09-26T18:45,Czechia,Croatia,8496,10155,,1709,1818,-50,1.198,1.621,1.179,1.608,1.189,1.763,κληση/κληση,97.6,238.2,97607700,238203726.0,-99,1.17,1.65,22,32,46,4.54,3.12,2.17,+0.25 @1.89,3.82,1.89,-85,1.19,1.6,23,32,45,1703,1848,-135,1.15,1.81,19,30,51
NL A,2026-09-26T18:45,England,Spain,8491,6720,,1983,2135,-3,1.103,1.508,1.379,1.664,1.4,1.652,κληση/κληση,756.6,796.1,756557560,796068562.0,-95,1.07,1.54,22,32,45,4.47,3.11,2.2,+0.25 @1.87,3.9,1.87,-57,1.38,1.66,26,33,41,2068,2184,-59,1.38,1.67,25,33,41
NL B,2026-09-26T18:45,North Macedonia,Switzerland,8260,6717,,1546,1874,-120,0.785,2.444,0.711,2.221,0.775,2.555,κληση/κληση,22.5,192.1,22488522,192055383.0,-388,0.66,2.56,6,15,80,17.31,6.87,1.26,+1.50 @2.26,13.68,4.34,-300,0.74,2.19,9,20,71,1522,1882,-420,0.64,2.69,5,13,82
NL C,2026-09-26T18:45,Albania,Belarus,10024,10057,,1588,1523,93,1.969,1.036,1.934,0.642,2.181,0.701,κληση/κληση,55.0,10.5,54976148,10487155.0,218,2.04,0.97,60,26,14,1.67,3.82,7.26,-1.00 @2.06,1.65,1.2,257,1.91,0.66,64,24,12,1587,1390,350,2.29,0.59,74,18,8
NL C,2026-09-26T18:45,Slovakia,Moldova,8497,5794,,1655,1303,104,2.814,0.607,2.706,0.466,2.919,0.596,κληση/κληση,33.5,5.3,33467925,5267287.0,516,2.97,0.45,88,9,3,1.14,11.21,31.18,-1.50 @1.45,1.16,1.03,445,2.67,0.51,83,13,5,1657,1272,548,3.09,0.42,89,8,3
NL D,2026-09-27T13:00,Lithuania,Azerbaijan,8254,8566,,1358,1392,34,1.279,1.023,1.14,1.016,1.257,1.01,κληση/κληση,12.5,6.9,12522298,6888232.0,60,1.3,1.0,39,34,27,2.53,2.97,3.71,+0.00 @1.67,2.4,1.39,25,1.14,1.02,35,34,31,1326,1362,58,1.27,0.99,39,34,28
NL A,2026-09-27T16:00,Denmark,Wales,8238,5790,,1851,1658,41,2.112,0.853,2.307,0.722,2.336,0.828,κληση/κληση,261.3,125.6,261333961,125615599.0,294,2.2,0.76,69,21,10,1.45,4.73,10.36,-1.50 @2.21,1.46,1.13,315,2.28,0.75,71,20,9,1877,1622,356,2.45,0.72,75,18,7
NL A,2026-09-27T16:00,Serbia,Netherlands,8205,6708,,1671,1901,-67,0.897,1.91,0.813,2.065,0.881,2.218,κληση/κληση,148.7,489.6,148696134,489578688.0,-237,0.82,1.98,12,24,64,8.35,4.13,1.57,+1.00 @2.04,6.97,2.69,-249,0.83,2.04,11,23,65,1662,1971,-316,0.78,2.32,8,19,73
NL B,2026-09-27T16:00,Austria,Kosovo,8255,430156,,1800,1676,21,2.009,1.134,1.965,1.081,1.975,1.141,κληση/κληση,144.2,98.7,144210671,98672307.0,205,2.07,1.07,58,27,15,1.71,3.7,6.83,-1.00 @2.14,1.7,1.22,175,1.95,1.1,54,29,17,1794,1679,197,2.04,1.08,57,28,16
NL D,2026-09-27T16:00,Gibraltar,Andorra,507764,10045,,1079,1154,-15,0.909,1.037,0.582,1.139,0.619,1.152,κληση/κληση,2.4,3.2,2415078,3166499.0,-30,0.9,1.05,29,34,37,3.47,2.94,2.69,+0.00 @2.25,3.41,1.58,-111,0.59,1.13,21,31,48,1030,1201,-126,0.58,1.19,19,31,50
NL A,2026-09-27T18:45,Germany,Greece,8570,6383,,1923,1731,30,2.099,0.896,2.315,0.815,2.307,0.92,κληση/κληση,339.6,200.3,339608575,200306417.0,281,2.19,0.81,68,22,10,1.48,4.54,9.73,-1.00 @1.75,1.49,1.14,298,2.29,0.84,69,21,10,2026,1788,327,2.41,0.82,72,19,8
NL A,2026-09-27T18:45,Norway,Portugal,8492,8361,,1889,1943,-15,1.319,1.357,1.318,1.555,1.33,1.592,κληση/κληση,407.0,528.4,406955701,528411881.0,-9,1.32,1.36,31,34,35,3.21,2.93,2.89,+0.00 @2.06,2.87,1.58,-47,1.32,1.55,27,34,40,1934,2041,-62,1.31,1.61,25,33,42
NL B,2026-09-27T18:45,Israel,Ireland,8567,5791,,1625,1666,-53,1.171,1.315,1.181,1.209,1.159,1.406,κληση/κληση,50.9,130.4,50905833,130446337.0,-34,1.16,1.33,28,34,38,3.52,2.95,2.66,+0.00 @2.24,3.18,1.64,-5,1.18,1.21,31,34,35,1610,1675,-58,1.14,1.42,26,33,41
NL B,2026-09-28T16:00,Georgia,Ukraine,8268,6718,,1619,1772,4,0.924,1.306,1.167,1.351,1.183,1.323,κληση/κληση,162.6,152.0,162627334,151989139.0,-89,0.9,1.33,23,32,45,4.37,3.09,2.23,+0.25 @1.82,4.12,1.82,-37,1.17,1.35,28,34,38,1619,1716,-33,1.17,1.33,28,34,38
NL C,2026-09-28T16:00,Armenia,Montenegro,6583,49437,,1451,1509,-26,1.094,1.194,1.048,1.265,1.053,1.346,κληση/κληση,26.7,42.4,26701611,42362937.0,-23,1.09,1.2,30,34,36,3.38,2.94,2.75,+0.00 @2.17,3.15,1.59,-43,1.05,1.26,27,34,39,1389,1492,-69,1.03,1.37,25,33,43
NL C,2026-09-28T16:00,Latvia,Cyprus,5795,5793,,1331,1372,-42,1.029,1.129,1.016,1.106,1.003,1.258,κληση/κληση,6.3,13.5,6336354,13463861.0,-23,1.02,1.14,30,34,36,3.38,2.94,2.75,+0.00 @2.18,3.2,1.58,-18,1.02,1.1,30,34,36,1293,1371,-60,0.98,1.28,25,33,41
NL A,2026-09-28T18:45,Belgium,France,8263,6723,,1911,2031,-56,1.293,1.791,1.047,1.615,1.065,1.782,κληση/κληση,282.3,769.7,282303154,769702173.0,-116,1.26,1.83,20,31,48,4.89,3.2,2.07,+0.25 @1.97,3.91,1.97,-113,1.06,1.61,21,31,48,1963,2136,-169,1.01,1.83,16,28,56
