tid,R
8263,1956.6106558401834
8256,2000.9751777616611
6723,2117.954231966858
6720,2184.4073555339164
6708,1975.7422217497262
8361,2017.3581662416561
8258,1962.8823121241678
6706,2049.0363409037136
8204,1931.142728276959
5796,1863.6308537435548
8570,2021.3454306617346
8491,2067.800542877033
10155,1848.0898259826613
6710,1876.6594308356293
6717,1882.4139355599486
8238,1889.0984941063152
5798,1713.9595933725755
8520,1785.1412137023767
6718,1685.2201506301326
5800,1721.5684945429018
9762,1723.022997839677
8205,1694.5978160238462
8713,1743.0849680942636
8568,1696.992761303748
5790,1646.5338682116408
6595,1814.309672346675
7804,1743.051056202653
6395,1858.6930306740385
6715,1867.3350350037915
6317,1764.9515316623877
8255,1786.6880560863178
6711,1694.8604531193182
6724,1790.1633932938103
8496,1702.7233039298105
8497,1656.8080963789093
5791,1692.0822534900037
6707,1878.4791836662641
8492,1922.4739699164522
6713,1825.4839287177638
6716,1707.8724124440103
6346,1740.8912272243904
9730,1603.0013828370463
10106,1652.7587312566213
10259,1613.9161871987578
8536,1622.1043350349696
5902,1473.4384364397822
6262,1904.9036744839548
6705,1554.299398001889
7871,1517.6759367916386
8498,1705.031047316144
6714,1618.1149126781147
5808,1565.8966464407072
5819,1539.988262051012
6719,1561.8295839754026
8565,1729.2787760419
6709,1786.3754164577074
6383,1755.865866405952
5810,1746.6354102022474
5797,1633.1112626284607
5787,1653.8300515999968
10255,1741.8199620257308
5806,1542.2999371292567
8700,1579.733571400751
6629,1589.7608705419818
10150,1421.1910636533732
430156,1661.8900685658868
5934,1484.077722725922
7795,1565.935812408137
8268,1624.4031713898237
8260,1522.4842660259144
8567,1617.2780129124376
5901,1367.095531104879
5815,1600.520333874282
6316,1609.6952886685083
10024,1586.7142483138382
6323,1537.535513329482
49437,1498.7806818951021
5890,1432.0233630674293
5922,1552.123351801625
5824,1452.9778653081587
6321,1707.3301647389878
5858,1514.0728687228186
10057,1390.0509843498876
6327,1383.7633622640699
5820,1471.1947129145233
6320,1403.4646792671542
5816,1532.0517290846742
6328,1396.8259800082512
5822,1407.2366050465714
5883,1421.1303302012045
5889,1456.6269324739742
5789,1558.5201250589434
6583,1394.517070711605
5859,1387.4087275713018
8261,1327.4194859625486
6277,1422.620616765061
6289,1441.7117618993698
5809,1391.3596032262317
5821,1288.8608816627475
287981,1371.346691778199
5894,1270.955641367412
6290,1378.1124879028064
5897,1346.796553113541
5888,1575.0689726224207
5793,1364.6021175889023
5801,1172.8436740980571
6333,1440.130683816675
68374,1378.0805835963454
6330,1357.4311609107542
5884,1366.5650916359286
8566,1355.0081917088726
8265,1370.8392507441936
5788,1387.5186801909701
230693,1211.551454620141
7724,1399.6080886025052
6020,1302.7720467194292
6712,1490.4461204045224
5965,1361.7192500457897
5792,1441.8816275059248
5979,1423.2240567350866
5803,1331.7213229209035
5804,1317.1045215197769
8254,1322.5333148621446
5802,1299.5417629125297
7740,1367.3172843179973
127411,1399.566526521534
5943,1231.347534618521
7941,1374.5740747294533
8323,1336.898210330294
5887,1272.7888767670981
4167,1257.9541117515928
230700,1263.0755465411446
121282,1272.9234844332946
5893,1314.8787851290301
5900,1206.4197257138235
5857,1197.2362808421767
5805,1349.5194073607745
5885,1333.8681008149965
5795,1287.6864955120552
121281,1391.4032737011864
5794,1272.0440372320813
5898,1312.279855911387
5925,1191.0083361690006
8269,1388.526150548035
6222,1204.447004070877
6548,1172.00181008168
4432,1068.8978848386323
5757,1260.027709204973
5892,1184.206009072534
5823,1215.6777606989726
5924,1105.0519685287834
6329,1164.8473789494192
230692,1420.773598153584
5807,1287.5680837684313
262134,1208.8919491850438
5923,1160.1726049974416
6322,1082.7409400308418
5926,1131.6744925029898
8495,1319.5070900610958
121284,1278.7084653512375
5825,1120.631514543313
6319,1131.5382618666772
6101,1109.1518732939785
230139,1098.4194394965516
287876,1123.0599793342703
6011,1190.724004442051
5799,945.2322982194422
95796,1091.881459876015
127409,1016.9471835859214
4433,1074.8048458638957
6324,1372.9919850901854
10045,1217.062176360722
5886,1017.3809831305061
287979,1008.7395048367415
507764,1033.0197359175597
408231,1126.256148022566
8307,992.8619420555342
127408,1027.6903997037796
5750,993.6126179607279
287980,1023.4690009534299
5756,1064.376216869049
929188,896.8543245800479
5899,891.2295743968998
5896,956.1234662588578
95799,957.4932246655213
287978,898.656910519079
287982,912.5132152962552
121274,888.1211875121013
73596,839.7139137430329
121285,910.9481457685371
262131,950.397113145763
5910,919.1653096271791
262133,875.1081029345537
929189,897.4037499691061
6332,833.7815592497133
95797,895.102944600094
6035,896.1561891763555
262137,776.4115031511236
929190,795.6588841206474
95798,758.1430117864967
95971,724.7384234654364
262136,724.4732370769879
4175,698.7840466915842
5891,686.9874626579999
5895,732.9522482105881
95801,619.6584919992097
178671,644.5960306358502
262135,654.3800187164587
95800,606.3092163230709
262132,598.2667740044127
287879,1423.40720397005
