,R,name,last_match
6720,2134.562322405031,Spain,2026-07-19 19:00:00
6706,2078.541320672502,Argentina,2026-07-19 19:00:00
6723,2030.6718870545892,France,2026-09-25 18:45:00
8256,1984.226510496629,Brazil,2026-09-25 10:00:00
8491,1982.6053381397535,England,2026-07-18 21:00:00
8258,1960.2618281338123,Colombia,2026-07-07 20:00:00
8361,1943.1221962854468,Portugal,2026-09-24 18:45:00
8570,1922.8550937113262,Germany,2026-09-24 18:45:00
8263,1910.594000348008,Belgium,2026-09-25 18:45:00
6708,1901.0139309495116,Netherlands,2026-09-24 18:45:00
8492,1888.6825854230497,Norway,2026-09-24 18:45:00
6717,1873.638103493563,Switzerland,2026-07-12 01:00:00
6262,1855.867985480327,Morocco,2026-09-25 19:00:00
6707,1854.8268014566995,Ecuador,2026-09-24 11:00:00
8238,1851.0013705655635,Denmark,2026-09-24 18:45:00
8204,1846.6373741805292,Italy,2026-09-25 18:45:00
6715,1846.6354691563286,Japan,2026-09-24 10:05:00
5796,1838.745240525235,Uruguay,2026-09-24 10:05:00
6710,1833.324963416254,Mexico,2026-07-06 01:00:00
10155,1817.616109665301,Croatia,2026-07-02 23:00:00
6595,1811.1216129980605,Turkiye,2026-09-25 18:45:00
6724,1802.129939019113,Paraguay,2026-07-04 21:00:00
8255,1799.5607297714325,Austria,2026-09-24 18:45:00
7804,1779.100140976754,South Korea,2026-09-24 11:00:00
6395,1778.2471306518526,Senegal,2026-09-25 13:00:00
6718,1772.087374431085,Ukraine,2026-09-25 18:45:00
6716,1758.926516240731,Australia,2026-09-25 10:00:00
5810,1751.929652268737,Canada,2026-07-04 17:00:00
6346,1751.8508738929934,Nigeria,2026-09-25 16:00:00
8713,1751.454009184823,Russia,2026-06-09 17:00:00
6709,1744.0326547357008,Ivory Coast,2026-09-24 19:00:00
6711,1740.415637804418,Iran,2026-09-24 14:00:00
8565,1739.4426582655512,Hungary,2026-09-25 18:45:00
6317,1736.0460849679373,Algeria,2026-09-25 19:00:00
6713,1732.9690724451716,USA,2026-07-07 00:00:00
9762,1731.3331103226187,Chile,2026-06-09 16:00:00
6383,1731.2721709189002,Greece,2026-09-24 18:45:00
5800,1726.1903182937115,Venezuela,2026-06-10 01:00:00
8520,1720.5896869461883,Sweden,2026-09-25 18:45:00
5798,1716.71202518987,Peru,2026-06-09 02:00:00
8498,1714.1193531380593,Scotland,2026-09-26 13:00:00
10255,1712.7911115523748,Egypt,2026-09-25 19:00:00
8496,1708.957530734362,Czechia,2026-06-25 01:00:00
8568,1708.301666332627,Poland,2026-09-25 18:45:00
6321,1694.2784224933664,DR Congo,2026-09-24 16:00:00
430156,1676.2212150148473,Kosovo,2026-09-24 18:45:00
8205,1671.0741544068624,Serbia,2026-09-24 18:45:00
5791,1665.6128485457634,Ireland,2026-09-24 18:45:00
5790,1657.8048261521712,Wales,2026-09-24 18:45:00
5787,1655.4074133882332,Slovenia,2026-09-26 13:00:00
8497,1654.8460092253401,Slovakia,2026-06-05 16:30:00
8700,1653.0867725877622,Uzbekistan,2026-09-24 14:00:00
8567,1624.6584119609092,Israel,2026-09-24 18:45:00
8536,1624.4653287890617,Iceland,2026-09-26 16:00:00
5922,1623.2341758068192,Panama,2026-09-25 14:00:00
5815,1621.7080710913976,Mali,2026-09-25 19:00:00
10106,1619.0586696915673,Bosnia and Herzegovina,2026-09-25 18:45:00
8268,1619.0325543135132,Georgia,2026-09-25 16:00:00
9730,1618.9874111365448,Romania,2026-09-25 18:45:00
10259,1615.073077577002,Northern Ireland,2026-09-25 16:00:00
5797,1608.3477282957194,Bolivia,2026-06-11 00:00:00
6629,1599.5373866143807,Cameroon,2026-09-24 19:00:00
