status 200 · credits left 27416 · κοστος 6
προ-ΚΟ ματς: 38 (με Pinnacle = League A: 12 · χωρις Pinnacle = B-D: 26)

βιβλιο             | B-D (απο 26): 1Χ2 AH  OU | A (απο 12): 1Χ2 AH  OU | μεση γκανιοτα 1Χ2 / AH / OU
pmu_fr             |         25   0  25 |         12   0  12 | 12.3% /   —   / 13.7%
leovegas           |         25   0  25 |         12   0  12 |  7.5% /   —   /  7.3%
williamhill        |         24   0  24 |         12   0  12 |  9.9% /   —   /  8.0%
casumo             |         24   0  24 |         10   0  10 |  6.8% /   —   /  7.1%
nordicbet          |         11   0  11 |          2   0   2 |  7.3% /   —   /  6.6%
betsson            |         11   0  11 |          2   0   2 |  7.3% /   —   /  6.6%
winamax_fr         |         25   0   0 |         12   0   0 | 11.8% /   —   /   —  
winamax_de         |         22   0   0 |         12   0   0 | 10.2% /   —   /   —  
virginbet          |         26   0   0 |         12   0   0 |  9.9% /   —   /   —  
suprabets          |         24   0   0 |         12   0   0 |  8.9% /   —   /   —  
pinnacle           |          0   0   0 |         12  12  12 |  4.8% /  3.4% /  3.9%
paddypower         |         26   0   0 |         11   0   0 |  9.6% /   —   /   —  
marathonbet        |         24   0   0 |         12   0   0 |  4.2% /   —   /   —  
livescorebet       |         26   0   0 |         12   0   0 |  9.9% /   —   /   —  
ladbrokes_uk       |         18   0   0 |          8   0   0 |  6.3% /   —   /   —  
coral              |         18   0   0 |          8   0   0 |  5.7% /   —   /   —  
boylesports        |         26   0   0 |         12   0   0 |  8.2% /   —   /   —  
betfred_uk         |         26   0   0 |         12   0   0 |  8.0% /   —   /   —  
betfair_ex_uk      |         26   0   0 |         12   0   0 |  2.2% /   —   /   —  
betfair_ex_eu      |         26   0   0 |         12   0   0 |  2.2% /   —   /   —  
betclic_fr         |         25   0   0 |         12   0   0 |  8.0% /   —   /   —  
=== REGIONS us,us2,au ===
status 200 · credits left 27407 · κοστος 9
προ-ΚΟ ματς: 38 (με Pinnacle = League A: 0 · χωρις Pinnacle = B-D: 38)

βιβλιο             | B-D (απο 38): 1Χ2 AH  OU | A (απο 0): 1Χ2 AH  OU | μεση γκανιοτα 1Χ2 / AH / OU
bovada             |         32  32  32 |          0   0   0 |  7.0% /  4.5% /  4.6%
betrivers          |         37   0  37 |          0   0   0 |  7.0% /   —   /  7.5%
unibet             |         38   0   0 |          0   0   0 |  6.8% /   —   /   —  
tab                |         18   0   0 |          0   0   0 |  7.6% /   —   /   —  
sportsbet          |         11   0   0 |          0   0   0 |  7.2% /   —   /   —  
neds               |         26   0   0 |          0   0   0 |  6.4% /   —   /   —  
ladbrokes_au       |         26   0   0 |          0   0   0 |  6.4% /   —   /   —  
fanduel            |         36   0   0 |          0   0   0 |  8.6% /   —   /   —  
draftkings         |         32   0   0 |          0   0   0 |  8.4% /   —   /   —  
betfair_ex_au      |         38   0   0 |          0   0   0 |  2.2% /   —   /   —  
