mid,home_true,away_at_home,neutral_true,vc,elev
ng1738379,1,0,0,,
ng1740913,1,0,0,,
ng1738380,1,0,0,,
ng1744850,1,0,0,,
ng1748165,1,0,0,,
ng1741368,1,0,0,,
ng1753323,1,0,0,,
ng1774091,1,0,0,,
ng1784600,1,0,0,,
ng1781549,1,0,0,,
ng1785603,1,0,0,,
ng1787047,1,0,0,,
ng1785136,1,0,0,,
ng1782439,1,0,0,,
ng1782441,1,0,0,,
2941970,1,0,0,,
ng1782440,1,0,0,,
2941972,1,0,0,,
2942128,1,0,0,,
2942180,1,0,0,,
2942154,1,0,0,,
2942178,1,0,0,,
2941971,1,0,0,,
ng1782442,1,0,0,,
ng1782443,1,0,0,,
2942155,1,0,0,,
2942179,1,0,0,,
ng1786647,1,0,0,,
ng1782444,1,0,0,,
ng1782445,1,0,0,,
2942099,1,0,0,,
2942021,1,0,0,,
ng1790923,1,0,0,,
2942130,1,0,0,,
2942205,1,0,0,,
2942023,1,0,0,,
2942022,1,0,0,,
2942100,1,0,0,,
2942129,1,0,0,,
2942204,1,0,0,,
ng1790924,1,0,0,,
ng1782446,1,0,0,,
ng1782447,1,0,0,,
ng1782448,1,0,0,,
2941996,1,0,0,,
2942047,1,0,0,,
2942073,1,0,0,,
2941997,1,0,0,,
2942075,1,0,0,,
2942048,1,0,0,,
2942074,1,0,0,,
2941973,1,0,0,,
2942182,1,0,0,,
2942157,1,0,0,,
2942156,1,0,0,,
2941974,1,0,0,,
2941975,1,0,0,,
2942181,1,0,0,,
2942183,1,0,0,,
2942206,1,0,0,,
ng1788200,1,0,0,,
2942026,1,0,0,,
2942102,1,0,0,,
2942133,1,0,0,,
ng1788198,1,0,0,,
2942025,1,0,0,,
2942207,1,0,0,,
2942131,1,0,0,,
2942024,1,0,0,,
2942101,1,0,0,,
2942132,1,0,0,,
ng1791381,1,0,0,,
ng1792800,1,0,0,,
ng1788201,1,0,0,,
ng1789387,1,0,0,,
ng1788199,1,0,0,,
2942076,1,0,0,,
2941998,1,0,0,,
2942077,1,0,0,,
2942049,1,0,0,,
2941999,1,0,0,,
2942078,1,0,0,,
ng1788192,1,0,0,,
2942050,1,0,0,,
ng1792464,1,0,0,,
ng1788197,1,0,0,,
ng1788194,1,0,0,,
ng1788195,1,0,0,,
ng1788196,1,0,0,,
ng1788191,1,0,0,,
ng1788193,1,0,0,,
ng1802439,1,0,0,,
ng1802667,1,0,0,,
ng1801487,1,0,0,,
ng1803266,1,0,0,,
ng1803993,1,0,0,,
ng1802481,1,0,0,,
ng1804688,1,0,0,,
ng1804689,1,0,0,,
ng1803692,1,0,0,,
ng1803590,1,0,0,,
ng1803695,1,0,0,,
ng1803694,1,0,0,,
2942027,1,0,0,,
ng1803697,1,0,0,,
2942103,1,0,0,,
ng1805346,1,0,0,,
2942208,1,0,0,,
2942029,1,0,0,,
2942028,1,0,0,,
2942134,1,0,0,,
2942136,1,0,0,,
2942135,1,0,0,,
ng1803702,1,0,0,,
2942104,1,0,0,,
2942209,1,0,0,,
ng1803704,1,0,0,,
ng1803705,1,0,0,,
ng1803701,1,0,0,,
2942001,1,0,0,,
2942080,1,0,0,,
2942051,1,0,0,,
2942081,1,0,0,,
2942000,1,0,0,,
2942079,1,0,0,,
2942052,1,0,0,,
ng1803709,1,0,0,,
2942158,1,0,0,,
ng1803711,1,0,0,,
2942159,1,0,0,,
2942184,1,0,0,,
2941976,1,0,0,,
ng1804087,1,0,0,,
2941978,1,0,0,,
2941977,1,0,0,,
2942186,1,0,0,,
2942185,1,0,0,,
ng1804054,1,0,0,,
ng1806237,1,0,0,,
ng1804091,1,0,0,,
ng1806386,1,0,0,,
2942030,1,0,0,,
ng1806236,1,0,0,,
ng1804092,1,0,0,,
ng1806387,1,0,0,,
ng1806388,1,0,0,,
2942031,1,0,0,,
2942032,1,0,0,,
2942210,1,0,0,,
2942105,1,0,0,,
ng1804791,1,0,0,,
ng1804093,1,0,0,,
2942211,1,0,0,,
2942138,1,0,0,,
2942137,1,0,0,,
2942106,1,0,0,,
ng1806684,1,0,0,,
ng1804095,1,0,0,,
ng1806674,1,0,0,,
2942054,1,0,0,,
2942002,1,0,0,,
2942082,1,0,0,,
2942083,1,0,0,,
2942003,1,0,0,,
2942053,1,0,0,,
2942084,1,0,0,,
ng1804094,1,0,0,,
ng1804090,1,0,0,,
ng1806754,1,0,0,,
2941979,1,0,0,,
ng1806678,1,0,0,,
ng1804089,1,0,0,,
2941980,1,0,0,,
2942139,1,0,0,,
2942188,1,0,0,,
2942160,1,0,0,,
2942161,1,0,0,,
2941981,1,0,0,,
2942187,1,0,0,,
2942189,1,0,0,,
ng1804096,1,0,0,,
ng1804088,1,0,0,,
ng1806680,1,0,0,,
ng1804097,1,0,0,,
ng1804098,1,0,0,,
ng1813637,1,0,0,,
ng1813613,1,0,0,,
ng1813614,1,0,0,,
ng1811767,1,0,0,,
ng1811768,1,0,0,,
ng1814653,1,0,0,,
ng1814631,1,0,0,,
